id x y phenotype1 envi phenotype2 
442 0.360293 0.0103378 -0.215577 0.428194 -0.215577
443 0.359895 0.880123 0.169317 0.521447 0.169317
444 0.279223 0.395162 0.407694 0.208306 0.407694
445 0.268031 0.958361 -0.335096 0.787275 -0.335096
446 0.266425 0.387081 1.41253 0.18801 1.41253
447 0.990076 0.14764 0.654484 -0.409787 0.654484
448 0.764943 0.418357 0.940589 0.0405521 0.940589
449 0.563315 0.817582 0.255156 0.952752 0.255156
450 0.0179379 0.963387 0.459764 -0.454104 0.459764
451 0.879056 0.0389341 1.39811 -0.659278 1.39811
452 0.90253 0.0322327 -0.625433 -0.758148 -0.625433
453 0.966211 0.45664 -0.777616 -1.15958 -0.777616
454 0.2784 0.373549 0.763037 0.270057 0.763037
455 0.0430307 0.994221 0.723171 -0.315064 0.723171
456 0.44458 0.389673 0.140145 0.801167 0.140145
457 0.737846 0.88937 -0.242411 0.0786372 -0.242411
458 0.97337 0.458813 -1.14992 -1.21627 -1.14992
459 0.560367 0.016677 -0.205377 0.624449 -0.205377
460 0.253263 0.590901 -0.990409 -0.54966 -0.990409
461 0.914023 0.029467 -0.346538 -0.806295 -0.346538
462 0.249393 0.592934 -0.550874 -0.577009 -0.550874
463 0.885012 0.0401324 0.779496 -0.67315 0.779496
464 0.98209 0.392884 1.32758 -0.822952 1.32758
465 0.091529 0.686593 -0.110169 -0.460066 -0.110169
466 0.161051 0.268042 1.18075 0.319012 1.18075
467 0.982153 0.14303 1.40825 -0.424111 1.40825
468 0.00534248 0.313321 0.892141 -0.0630998 0.892141
469 0.960119 0.700759 -0.0707678 -0.678345 -0.0707678
470 0.730381 0.897734 0.775034 0.0990513 0.775034
471 0.755578 0.770466 0.210575 0.181987 0.210575
472 0.607873 0.297635 0.241709 0.683896 0.241709
473 0.746272 0.191451 0.281011 -0.0208361 0.281011
474 0.872835 0.0505445 0.289574 -0.59955 0.289574
475 0.336033 0.900828 0.310807 0.532583 0.310807
476 0.946459 0.734202 0.604658 -0.509258 0.604658
477 0.355714 0.89703 0.0596653 0.583165 0.0596653
478 0.911361 0.310118 0.996178 -0.161645 0.996178
479 0.444839 0.536435 0.639287 0.606774 0.639287
480 0.388241 0.903376 1.05767 0.722926 1.05767
481 0.151917 0.441793 -0.1928 -0.111796 -0.1928
482 0.0835667 0.15972 0.965466 -0.253133 0.965466
